kdrama_id,drama_name,year,director,screenwriter,country,type,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,2023,['So Joon Moon'],,South Korea,Drama,8,1500,"Aug  2, 2023","Aug  2, 2023",Wednesday,,Not Yet Rated,"Follow the story of acquaintances Ba Ram and Han Tae after an incident occurred during their school years. Now that they are adults, will Ba Ram be able to suppress the feelings for Han Tae that he has harbored for so long?(Source: BLUPDATE2022 Twitter)~~ Adapted from the webtoon ""Ttarabaram"" (따라바람) by Geom Dung (검둥). ",1484,2238
5ffcbeaa17114714af1959129984274c,D.P. Season 2,2023,,['Kim Bo Tong'],South Korea,Drama,6,3000,"Jul 28, 2023","Jul 28, 2023",Friday,Netflix,15+ - Teens 15 or older,"This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis.(Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList)~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통). ",164,1084
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,2023,['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",South Korea,Drama,8,3300,2023-07-05,2023-07-26,Wednesday,Disney+ Hulu,15+ - Teens 15 or older,"Unfolds the ultimate counterattack of veteran homicide detective Kim Taek Rok, who has returned to investigate the secret mastermind behind the blackmailer 'Friend'.(Source: Sports Chosun; edited by Krystale Mitaesa at MyDramaList) ",2443,6915
df0f0ac4b3ff4b15afa26f5a7a53a328,To Be Honest,2023,,,South Korea,Drama,3,600,2023-06-30,2023-07-14,Friday,,Not Yet Rated,"Don't you have those days where the whole universe seems to be against you? For example, when you're called on in class, or you get your period right before your exams begin, or when you're talking to someone your really like but have an eye booger. But perhaps it's more that I didn't want my life to be so smooth-sailing. Why did my life turn out this way? To be honest, I want to go home.(Source: 콬TV Youtube)",49895,99999
04c1fe41948e464fb440001831d74d41,Celebrity,2023,['Kim Chul Gyu'],['Kim Yi Young'],South Korea,Drama,12,2700,"Jun 30, 2023","Jun 30, 2023",Friday,Netflix,18+ Restricted (violence & profanity),Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.(Source: Netflix) ,826,547
2e06f3f0c28942fd8b8e4780f5e666dc,Blue Temperature,2023,,,South Korea,Drama,4,420,2023-06-28,2023-07-19,Wednesday,Naver TV Cast,Not Yet Rated,"Set in the picturesque town of Cheongdo, this story revolves around the lives of two high school students, Soo Ah and Soo Hyuk. Soo Ah temporarily moves to Cheongdo to help her mother with persimmon farming. While adjusting to the new environment, she encounters Soo Hyuk, a responsible and hardworking student who is determined to carry on his family's café business. Soo Hyuk also happens to be  Soo Ah's first love.As Soo Ah and Soo Hyuk spend time together in Cheongdo, their friendship gradually blossoms into a deep bond.(Source: SooNum at MyDramaList)",47245,15405
e632ba76285f438d9448852dd31bcd96,Numbers,2023,['Kim Chil Bong'],"['Oh Hye Seok', 'Jung An']",South Korea,Drama,12,3600,2023-06-23,2023-07-29,"Friday, Saturday",MBC,15+ - Teens 15 or older,"Ho Woo is the first and only high school graduate accountant to join the top accounting firm in the country. With his outstanding memory, observation, adaptation, and sense of justice that ordinary accountants rarely have, he is more than a perfect employee. Je Kyun and Seung Jo are father and son, and Je Kyun is the Vice President of the accounting firm. Despite the fact that he is well-known for his generous personality, he is a man who does not hesitate to get what he wants. Seung Jo is the ace accountant of the firm who's quite the opposite of Ho Woo. These two work together with numbers to achieve their own goals. Their goals are different, but they are headed towards the same target. Will they be able to serve justice in this accounting firm?(Source: Viu)",2685,1546
4c99e91ea0d447639659b8c33f92c909,Revenant,2023,"['Lee Jung Rim', 'Kim Jae Hong']",['Kim Eun Hee'],South Korea,Drama,12,4200,2023-06-23,2023-07-29,"Friday, Saturday",SBS,15+ - Teens 15 or older,"When the door to another world opens, demons exist there. Ku San Young is possessed by one of those demons. Yeom Hae Sang can see the demon which has possessed Ku San Young. They try to figure out the truth behind the mysterious deaths related to the five sacred objects.Ku San Young is busy working part-time during the day and studying to become a low-ranking public officer at night. One day, she receives some articles left behind by her late father. Since then, mysterious deaths take place around her. She also finds herself slowly changing.Yeom Hae Sang comes from a rich background. He teaches Korean folklore at a university. Since he was a child, he has had the special ability to see demons in this world. He even saw his mother get killed by a demon in front of him when he was young. Yeom Hae Sang meets Ku San Young and he faces the demon which killed his mother.Lee Hong Sae is a lieutenant in the violent crimes investigation team. He only cares about advancing his career in the police department. Due to Ku San Young and Yeom Hae Sang, he gets involved in mysterious cases.(Source: AsianWiki)",236,769
4afb1765522e4274ad993de46e3fb02e,Adult Kids,2023,,,South Korea,Drama,8,600,2023-06-19,2023-08-07,Monday,,Not Yet Rated,A hyper-realistic drama depicting the daily lives of clumsy women in their 30s in the fashion industry and their joys and sorrows at work.(Source: HanCinema) ,47813,10649
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,2023,['Jung Ji Hyun'],['Ji Ah Nee'],South Korea,Drama,8,3600,2023-06-19,2023-07-11,"Monday, Tuesday",ENA Genie TV,15+ - Teens 15 or older,"Moon Joo Ran grew up in a wealthy family. She is now a housewife and married to Jae Ho, who works as a doctor. They live in a house with a yard. Her peaceful daily life is abruptly shaken when she notices a strange smell in her backyard. This leads to Moon Joo Ran eventually investigating her husband and meeting Chu Sang Eun. Chu Sang Eun lives a completely different life from Moon Joo Ran. She grew up in a poor environment and, even now, suffers from financial difficulties. She lives in a shabby rented apartment with her husband, Kim Yun Beom. Kim Yun Beom works for a pharmaceutical company. Sang Eun is subject to domestic violence by her husband, Kim Yun Beom. Her life is completely miserable. One day, she receives a phone call that Kim Yun Beom is dead.(Source: AsianWiki)~~ Adapted from the novel ""Lies Hidden in My Backyard"" (마당이 있는 집) by Kim Jin Yeong (김진영).",3381,1843
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,2023,"['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],South Korea,Drama,16,4800,2023-06-17,2023-08-06,"Saturday, Sunday",jTBC Netflix TVING,15+ - Teens 15 or older,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business lounge, a paradise catering to wealthy hoteliers. It is owned by The King Group, with hotels, distribution companies, and an airline in its portfolio. Now Goo Won has been thrown into an inheritance tug-of-war. With his brilliant mind,innate grace, and captivating charm, he has everything but lacks common sense when dating.Cheon Sa Rang makes the world brighter with just her smile. She is thrilled to land a job at the King Hotel, where she had some of her happiest times as a child. She must now put those sweet memories away and mature quickly to face the frequent workplace prejudices and misunderstandings that come her way. ",605,237
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,2023,['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",South Korea,Drama,12,4200,2023-06-17,2023-07-23,"Saturday, Sunday",Netflix TVING tvN,15+ - Teens 15 or older,"Ban Ji Eum has an extraordinary ability: she can remember the memories of all her past lives. Repeating her reincarnation for nearly a thousand years, Ban Ji Eum has been living all her lives diligently. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one, and decides to find a man named Moon Seo Ha, whom she met in her 18th life. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?On the other side, there is also Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, whose life collapsed after her older sister's death. She is courageous and kind, even after facing the death of her beloved sister, but she struggles to maintain her brightness. When Yoon Cho Won meets Ban Ji Eum by chance and sees her older sister in her, she wonders about Ban Ji Eum’s identity.Then there's Ha Do Yoon, Moon Seo Ha’s secretary and best friend since childhood. Although they come from completely different backgrounds, Ha Do Yoon feels some kind of affinity for him. (Source: Soompi; Webtoon.com)~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).",467,297
